worker_id,work_type,no_of_workers,time_takes_by_each_worker,complete_work_duration,rating
1,1,3,5,1,2.3
2,6,7,10,3,1.3
3,1,3,5,3,1.5
4,7,7,6,8,1.7
5,5,2,7,5,2.3
6,6,7,6,5,1.3
7,3,3,9,8,1.5
8,8,5,7,7,4.4
9,5,6,10,9,3.0
10,5,6,6,6,3.6
11,8,4,10,5,2.3
12,8,8,10,5,3.2
13,2,5,7,6,4.7
14,6,6,8,10,1.9
15,7,7,7,2,1.6
16,6,3,9,1,4.1
17,3,9,9,6,3.4
18,6,8,6,9,4.3
19,3,1,6,10,1.5
20,8,3,10,9,4.1
21,8,2,5,7,4.1
22,5,3,6,5,2.7
23,1,2,8,10,1.8
24,1,5,10,8,4.3
25,1,1,5,5,2.1
26,2,2,5,4,2.8
27,7,1,8,8,3.7
28,2,5,6,7,1.4
29,1,7,6,3,3.4
30,2,10,10,1,4.2
31,3,8,9,10,4.3
32,5,2,5,9,3.0
33,3,3,6,6,1.7
34,1,9,8,9,1.5
35,4,9,9,2,3.7
36,8,7,7,3,2.6
37,8,2,7,6,3.2
38,4,8,8,8,2.1
39,4,10,5,5,4.3
40,1,7,10,7,3.4
41,5,5,8,9,3.6
42,5,3,5,8,3.9
43,1,2,6,2,3.7
44,8,4,10,7,4.1
45,2,2,6,3,1.9
46,8,3,7,8,1.4
47,7,2,9,8,1.7
48,7,5,8,7,4.7
49,2,7,7,9,1.3
50,7,2,5,2,3.5
51,5,6,6,8,4.0
52,3,7,6,2,3.0
53,3,7,6,7,3.7
54,8,2,9,2,4.5
55,4,7,8,3,2.7
56,7,3,8,10,4.9
57,3,4,10,6,3.6
58,1,6,10,7,3.7
59,4,3,6,2,2.6
60,5,10,8,3,2.2
61,3,2,7,6,2.4
62,2,1,5,2,3.2
63,4,8,6,8,3.7
64,6,4,7,4,1.6
65,6,10,6,3,3.3
66,6,10,7,4,2.8
67,4,8,9,5,1.7
68,4,9,8,3,1.1
69,6,4,7,1,3.8
70,8,1,9,10,3.2
71,8,7,5,7,4.2
72,5,8,7,3,2.0
73,3,7,9,5,3.4
74,3,6,7,8,2.8
75,3,1,7,6,3.4
76,5,10,9,2,2.1
77,4,6,5,9,2.4
78,3,1,9,6,2.5
79,6,4,7,9,2.0
80,7,10,8,10,3.5
81,5,2,7,10,4.2
82,2,3,5,8,1.6
83,7,2,5,9,4.2
84,1,2,9,6,2.2
85,4,9,10,2,3.0
86,2,5,9,8,1.7
87,4,3,8,6,4.0
88,6,1,7,6,1.2
89,8,2,7,3,1.0
90,8,10,10,1,3.1
91,1,5,7,10,3.5
92,3,5,7,1,2.5
93,6,3,8,10,3.6
94,1,3,9,7,4.5
95,1,2,7,8,3.2
96,2,7,8,3,4.9
97,2,6,9,7,1.5
98,5,6,10,6,3.8
99,5,7,8,4,4.7
100,5,9,8,8,3.4
101,7,9,6,4,1.9
102,3,5,7,8,3.8
103,3,4,7,8,4.1
104,1,2,10,9,1.2
105,7,4,8,10,2.7
106,7,4,6,5,1.5
107,6,1,6,5,1.9
108,8,5,7,8,2.9
109,5,3,7,8,2.5
110,7,4,6,7,2.4
111,8,1,5,7,1.4
112,6,3,5,5,1.9
113,6,4,10,7,3.0
114,2,8,10,2,3.9
115,7,7,10,1,4.7
116,7,3,9,2,2.4
117,4,10,10,4,1.3
118,4,6,5,10,3.1
119,8,8,5,3,2.3
120,1,1,5,6,2.5
121,4,3,10,2,3.5
122,6,3,5,1,4.9
123,6,7,6,9,3.7
124,4,10,5,10,3.7
125,1,10,5,5,1.2
126,5,5,6,5,2.8
127,7,5,10,3,4.6
128,8,6,6,9,1.9
129,2,7,9,7,2.8
130,6,1,8,1,4.6
131,7,6,9,1,1.7
132,6,6,5,10,3.5
133,5,4,10,5,3.2
134,1,5,10,4,5.0
135,3,5,6,2,1.6
136,2,4,7,4,2.0
137,6,3,10,9,2.0
138,2,7,5,3,4.8
139,4,4,7,4,2.6
140,7,6,5,5,2.7
141,7,7,10,5,4.2
142,6,6,7,1,4.4
143,1,3,10,5,4.7
144,4,8,10,7,2.2
145,3,10,8,3,2.5
146,8,5,6,5,1.9
147,2,1,10,5,2.6
148,5,1,10,1,2.4
149,5,7,8,10,3.7
150,5,9,6,6,3.5
151,8,8,7,8,3.2
152,5,4,6,10,4.7
153,6,4,8,10,3.4
154,5,9,7,3,1.1
155,2,6,10,4,5.0
156,5,9,8,3,4.2
157,4,4,9,2,1.2
158,2,5,8,10,3.4
159,2,7,9,6,3.7
160,7,2,10,8,5.0
161,3,10,6,9,3.5
162,2,1,7,10,2.4
163,3,9,10,7,2.6
164,8,2,10,9,1.5
165,3,5,5,6,1.3
166,3,5,10,4,3.1
167,3,1,8,5,2.6
168,7,3,5,4,1.5
169,1,2,10,7,2.3
170,6,10,9,6,4.9
171,8,3,5,6,4.8
172,1,3,9,7,2.5
173,1,6,10,7,2.3
174,2,4,8,6,4.1
175,7,10,7,8,1.8
176,3,3,5,7,1.5
177,8,10,6,6,3.9
178,2,4,7,9,3.8
179,6,2,10,8,4.3
180,4,9,5,2,1.1
181,2,3,6,10,4.9
182,7,7,6,1,2.3
183,1,10,7,8,3.3
184,6,3,5,4,1.1
185,4,10,6,1,2.8
186,8,5,7,4,1.6
187,7,6,8,5,3.4
188,1,4,9,7,4.4
189,8,5,5,8,1.2
190,5,7,9,4,3.4
191,5,2,7,6,1.1
192,4,1,6,1,3.4
193,8,7,8,4,4.8
194,1,3,9,10,3.6
195,6,8,5,7,4.8
196,6,7,8,8,4.0
197,3,3,7,10,4.8
198,5,3,6,9,3.6
199,6,5,5,5,1.9
200,1,3,5,5,4.1
201,1,7,6,1,3.5
202,5,7,10,6,4.0
203,8,3,10,9,4.0
204,8,10,9,5,4.1
205,7,3,8,2,4.8
206,3,2,10,4,1.2
207,5,3,5,8,2.7
208,8,1,5,5,2.2
209,5,4,5,9,1.8
210,3,2,7,5,4.9
211,5,8,10,10,3.1
212,6,3,8,3,4.9
213,7,2,7,5,2.7
214,2,8,10,5,3.8
215,7,3,6,9,4.4
216,7,10,9,6,4.1
217,1,5,9,4,1.8
218,7,10,5,4,4.9
219,5,9,7,7,1.6
220,3,5,9,3,3.9
221,1,3,6,8,2.9
222,7,5,5,3,2.8
223,5,7,6,2,2.0
224,8,7,5,7,2.0
225,7,1,10,1,4.6
226,2,3,7,2,1.3
227,3,1,6,4,1.5
228,1,5,10,1,4.6
229,1,5,6,1,4.7
230,4,10,6,8,2.4
231,4,1,10,2,1.7
232,3,7,10,10,2.6
233,8,2,6,10,1.9
234,7,2,5,2,4.4
235,8,10,10,2,3.6
236,3,9,5,2,1.9
237,8,4,10,5,2.9
238,4,2,7,7,2.9
239,6,6,7,5,2.7
240,1,7,5,8,2.5
241,1,3,6,6,4.4
242,2,5,5,2,4.8
243,4,5,9,3,2.8
244,6,4,9,8,3.6
245,5,10,5,1,5.0
246,7,4,10,10,3.2
247,7,2,5,9,2.0
248,3,6,7,5,2.4
249,7,1,10,7,4.8
250,6,6,9,5,3.7
251,6,4,7,7,4.0
252,5,2,6,9,5.0
253,3,7,9,7,3.0
254,3,9,10,4,1.5
255,3,4,10,10,1.1
256,3,4,9,1,1.5
257,1,4,6,7,2.6
258,7,10,5,1,2.2
259,2,7,6,8,1.1
260,4,1,10,5,4.1
261,3,4,6,7,4.8
262,3,2,9,3,3.6
263,6,9,9,10,4.2
264,6,3,10,4,2.6
265,1,4,8,7,3.6
266,5,3,10,1,1.2
267,8,7,8,2,3.5
268,6,5,5,5,4.4
269,6,5,5,8,3.3
270,6,2,6,1,2.2
271,2,4,9,2,2.3
272,6,1,9,8,4.7
273,5,3,9,10,4.3
274,6,9,6,3,3.3
275,2,7,8,10,1.8
276,2,5,5,5,4.1
277,8,8,9,2,3.4
278,7,8,9,6,2.3
279,3,10,5,7,1.5
280,8,10,6,10,2.8
281,5,1,9,2,1.8
282,7,8,9,3,4.4
283,5,9,8,5,1.0
284,4,2,7,1,2.5
285,7,3,7,2,2.6
