worker_id,work_type,no_of_workers,time_takes_by_each_worker,complete_work_duration,rating
1,1,6,7,8,1.2
2,1,2,8,6,1.8
3,2,9,8,10,4.3
4,2,8,6,5,3.2
5,5,8,7,7,3.8
6,5,5,7,8,1.1
7,2,3,8,6,1.5
8,3,1,7,9,2.4
9,7,1,9,7,4.0
10,3,3,8,7,1.7
11,2,2,8,4,3.2
12,5,9,7,3,1.9
13,1,4,1,7,4.4
14,4,2,7,1,1.2
15,2,6,8,3,1.6
16,8,4,4,3,1.5
17,4,5,4,2,4.0
18,4,8,7,5,3.5
19,8,1,7,10,1.7
20,2,4,6,3,4.0
21,3,9,1,9,1.0
22,1,1,7,1,3.1
23,1,3,4,8,4.4
24,6,7,3,3,1.6
25,5,4,1,2,4.0
26,6,9,3,5,4.4
27,4,5,10,10,3.5
28,2,8,5,1,1.4
29,8,2,2,8,1.5
30,2,4,2,9,1.8
31,4,6,9,9,2.8
32,5,2,2,4,2.0
33,2,9,3,10,3.4
34,1,7,9,8,2.5
35,3,1,7,3,1.7
36,4,2,7,9,1.7
37,4,4,5,4,2.5
38,7,1,1,5,3.2
39,6,9,1,6,1.5
40,4,6,7,3,4.9
41,2,7,10,8,1.6
42,3,8,1,9,3.7
43,8,7,9,5,4.8
44,5,2,7,1,3.1
45,8,5,5,10,4.0
46,2,9,8,4,4.0
47,4,1,1,10,3.8
48,3,3,4,1,2.1
49,5,2,6,8,1.6
50,2,8,4,8,1.3
51,6,7,2,5,3.0
52,2,4,1,1,2.7
53,7,6,10,1,4.0
54,1,9,10,6,3.5
55,6,2,2,8,2.1
56,2,5,4,2,2.4
57,1,3,4,6,2.5
58,4,5,8,7,2.0
59,4,8,9,7,4.1
60,2,6,6,6,3.5
61,6,10,7,10,3.0
62,8,6,2,8,3.3
63,4,5,9,3,2.6
64,3,9,1,2,3.3
65,4,6,7,8,4.8
66,2,1,6,1,4.0
67,5,3,2,3,1.9
68,1,2,2,1,3.9
69,2,9,1,7,4.4
70,8,6,2,8,2.0
71,7,4,4,3,2.1
72,6,6,5,4,1.5
73,8,4,6,6,2.1
74,2,1,7,7,2.2
75,3,1,4,10,3.2
76,8,9,5,10,1.7
77,2,4,8,4,2.7
78,4,3,7,5,4.9
79,8,8,2,6,4.5
80,8,6,7,2,2.9
81,6,7,8,2,3.2
82,4,7,1,5,1.9
83,7,1,7,4,2.1
84,3,4,4,3,1.6
85,6,6,1,10,2.6
86,2,7,1,2,3.9
87,7,5,10,4,3.2
88,3,4,7,9,1.7
89,7,8,4,1,2.0
90,3,4,1,2,2.2
91,5,5,10,3,4.7
92,5,7,10,6,1.5
93,6,5,4,1,1.9
94,8,9,3,6,3.9
95,3,5,10,2,3.9
96,1,6,5,7,3.2
97,7,1,9,8,4.2
98,2,5,3,8,3.8
99,6,10,5,10,1.7
100,5,1,3,4,3.9
101,3,3,8,7,1.5
102,1,1,10,7,3.8
103,8,8,7,9,1.1
104,2,8,2,8,2.9
105,4,3,9,2,2.9
106,8,7,6,1,3.3
107,3,5,5,5,2.7
108,2,9,10,8,2.3
109,7,6,3,1,1.5
110,4,7,8,10,4.1
111,1,8,9,6,1.8
112,3,1,9,2,1.0
113,3,3,8,6,1.4
114,6,6,6,5,4.2
115,2,1,7,2,3.8
116,3,8,6,8,3.4
117,3,3,7,10,3.6
118,6,8,2,7,2.0
119,5,4,5,7,1.3
120,7,4,1,3,2.4
121,3,6,1,2,3.4
122,7,4,2,9,2.5
123,3,2,2,1,4.0
124,4,8,5,6,2.3
125,2,7,5,7,2.6
126,8,7,1,2,1.3
127,2,6,4,1,4.9
128,5,10,6,7,3.6
129,8,4,7,7,3.2
130,7,2,7,2,1.3
131,8,8,9,5,4.7
132,2,8,6,6,4.1
133,7,6,3,6,2.6
134,1,2,6,7,2.9
135,6,1,4,4,1.5
136,4,1,6,9,1.5
137,8,1,1,1,1.5
138,2,10,5,8,3.4
139,6,1,10,10,4.0
140,1,7,2,1,3.4
141,5,4,6,5,3.6
142,6,1,6,6,4.4
143,6,6,8,4,2.9
144,2,5,9,6,4.9
145,3,10,5,10,1.9
146,2,10,2,10,1.3
147,2,5,3,4,1.9
